,rca.function.loc.ploc_average,rca.function.loc.blank,rca.function.loc.lloc,rca.function.loc.ploc,rca.function.nargs.average_closures,rca.function.halstead.N1,rca.function.cyclomatic.average,rca.function.cyclomatic.max,rca.function.nargs.closures_max,rca.function.nom.closures_average
rca.function.loc.ploc_average,1.0,-0.024402320329861553,0.43805860005788866,0.4061615254146454,-0.17069770920085175,0.3505004328956467,0.8625404343643591,0.8343955588303029,-0.15786179082092208,-0.21107035783734365
rca.function.loc.blank,-0.024402320329861553,1.0,-0.8187863012538067,-0.9116065773155837,0.010313595754080874,-0.9187931586088409,0.00018235471629950514,-0.30195780718814375,0.0019344727534401514,0.009894291956643434
rca.function.loc.lloc,0.43805860005788866,-0.8187863012538067,1.0,0.9423732907510278,-0.034806860024398915,0.9544446092771265,0.25538601334998795,0.525240642370535,-0.016188097032844666,-0.08064015383828191
rca.function.loc.ploc,0.4061615254146454,-0.9116065773155837,0.9423732907510278,1.0,-0.035826257997511705,0.9927145453990772,0.3178219368540649,0.5956648716033139,-0.020270660219434387,-0.062072865644814
rca.function.nargs.average_closures,-0.17069770920085175,0.010313595754080874,-0.034806860024398915,-0.035826257997511705,1.0,-0.03893344357246973,-0.08773988244532521,-0.04590520879937577,0.9994307583925667,0.967107877678113
rca.function.halstead.N1,0.3505004328956467,-0.9187931586088409,0.9544446092771265,0.9927145453990772,-0.03893344357246973,1.0,0.25791511786608395,0.5456570442946119,-0.022364097967194733,-0.07246881387165718
rca.function.cyclomatic.average,0.8625404343643591,0.00018235471629950514,0.25538601334998795,0.3178219368540649,-0.08773988244532521,0.25791511786608395,1.0,0.9454537074850645,-0.07841131781073711,-0.10845475662633032
rca.function.cyclomatic.max,0.8343955588303029,-0.30195780718814375,0.525240642370535,0.5956648716033139,-0.04590520879937577,0.5456570442946119,0.9454537074850645,1.0,-0.0315523454631565,-0.07662380910181207
rca.function.nargs.closures_max,-0.15786179082092208,0.0019344727534401514,-0.016188097032844666,-0.020270660219434387,0.9994307583925667,-0.022364097967194733,-0.07841131781073711,-0.0315523454631565,1.0,0.9632677585732923
rca.function.nom.closures_average,-0.21107035783734365,0.009894291956643434,-0.08064015383828191,-0.062072865644814,0.967107877678113,-0.07246881387165718,-0.10845475662633032,-0.07662380910181207,0.9632677585732923,1.0
