,rca.function.loc.blank_average,rca.function.loc.blank_max,rca.function.loc.blank_min,rca.function.cognitive.min,rca.function.cyclomatic.min,rca.function.cyclomatic.average,rca.function.cognitive.average,rca.function.loc.blank,rca.function.loc.cloc_average,rca.function.loc.cloc_max
rca.function.loc.blank_average,1.0,0.999484922634226,0.999384023108868,0.09501506259894181,0.09309484012566592,0.09182222805305984,0.09147305197421739,0.24869028294038933,0.21638017395055986,0.2223138757839652
rca.function.loc.blank_max,0.999484922634226,1.0,0.9999374692827163,0.08700357352285029,0.08641378929973255,0.0844023358853761,0.08215213152820687,0.22923715073250145,0.21104033464308852,0.21841101845720587
rca.function.loc.blank_min,0.999384023108868,0.9999374692827163,1.0,0.08462815960803358,0.0841059314891195,0.08163558499141117,0.07890657830699187,0.23438305664876238,0.20758963947063994,0.21545942374412366
rca.function.cognitive.min,0.09501506259894181,0.08700357352285029,0.08462815960803358,1.0,0.8462864669160867,0.8492646473101799,0.9949529227976376,0.07027997951009564,0.2745521378470707,0.26000354760591404
rca.function.cyclomatic.min,0.09309484012566592,0.08641378929973255,0.0841059314891195,0.8462864669160867,1.0,0.998629402096201,0.8391812730184971,0.016389139971479248,0.213602671431744,0.1986223294058067
rca.function.cyclomatic.average,0.09182222805305984,0.0844023358853761,0.08163558499141117,0.8492646473101799,0.998629402096201,1.0,0.8473076909756191,0.00018235471629950462,0.22399629953486816,0.20539442161908197
rca.function.cognitive.average,0.09147305197421739,0.08215213152820687,0.07890657830699187,0.9949529227976376,0.8391812730184971,0.8473076909756191,1.0,0.03865480910482531,0.2908776172973229,0.2695595172079874
rca.function.loc.blank,0.24869028294038933,0.22923715073250145,0.23438305664876238,0.07027997951009564,0.016389139971479248,0.00018235471629950462,0.03865480910482531,1.0,0.03067720506433615,0.05894911572332082
rca.function.loc.cloc_average,0.21638017395055986,0.21104033464308852,0.20758963947063994,0.2745521378470707,0.213602671431744,0.22399629953486816,0.2908776172973229,0.03067720506433615,1.0,0.9950774510442666
rca.function.loc.cloc_max,0.2223138757839652,0.21841101845720587,0.21545942374412366,0.26000354760591404,0.1986223294058067,0.20539442161908197,0.2695595172079874,0.05894911572332082,0.9950774510442666,1.0
