,rca.impl.cyclomatic.sum,rca.impl.halstead.N1,rca.impl.halstead.N2,rca.impl.halstead.bugs,rca.impl.halstead.length,rca.impl.halstead.effort,rca.impl.halstead.level,rca.impl.halstead.volume,rca.impl.halstead.estimated_program_length,rca.impl.halstead.time
rca.impl.cyclomatic.sum,1.0,0.9713154933709363,0.9832510973227467,0.9524727966510472,0.9766533144180382,0.9468155528898385,-0.3274485881533483,0.9796548609032445,0.9419178709094693,0.9468155528898384
rca.impl.halstead.N1,0.9713154933709363,1.0,0.9963309702908528,0.9928333821858396,0.9994792871765539,0.967125897248487,-0.36476453207779946,0.9913795057296839,0.9134654547199487,0.9671258972484872
rca.impl.halstead.N2,0.9832510973227467,0.9963309702908528,1.0,0.9878126256994333,0.9985736961475199,0.960093036613669,-0.36542288796648176,0.9912822425529996,0.9381335890635788,0.9600930366136691
rca.impl.halstead.bugs,0.9524727966510472,0.9928333821858396,0.9878126256994333,1.0,0.9917968579433454,0.9398360189886276,-0.41215982322096056,0.9704250928710647,0.9105493509556075,0.9398360189886276
rca.impl.halstead.length,0.9766533144180382,0.9994792871765539,0.9985736961475199,0.9917968579433454,1.0,0.9653085922089981,-0.36532738802133696,0.9921979884614585,0.9235538081164835,0.9653085922089982
rca.impl.halstead.effort,0.9468155528898385,0.967125897248487,0.960093036613669,0.9398360189886276,0.9653085922089981,1.0,-0.1861283974052588,0.9862575122243121,0.8248331522908982,1.0000000000000002
rca.impl.halstead.level,-0.3274485881533483,-0.36476453207779946,-0.36542288796648176,-0.41215982322096056,-0.36532738802133696,-0.1861283974052588,1.0,-0.2818730347116951,-0.4730038439932139,-0.18612839740525877
rca.impl.halstead.volume,0.9796548609032445,0.9913795057296839,0.9912822425529996,0.9704250928710647,0.9921979884614585,0.9862575122243121,-0.2818730347116951,1.0,0.9023997664675714,0.9862575122243122
rca.impl.halstead.estimated_program_length,0.9419178709094693,0.9134654547199487,0.9381335890635788,0.9105493509556075,0.9235538081164835,0.8248331522908982,-0.4730038439932139,0.9023997664675714,1.0,0.8248331522908979
rca.impl.halstead.time,0.9468155528898384,0.9671258972484872,0.9600930366136691,0.9398360189886276,0.9653085922089982,1.0000000000000002,-0.18612839740525877,0.9862575122243122,0.8248331522908979,1.0
